org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/ipreputation.pp,1,0,12,0,0,0,0,2,7,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/invitesignup.pp,1,0,18,0,0,0,3,5,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/visualeditor.pp,0,0,12,1,0,0,2,2,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/antispoof.pp,0,0,17,2,0,0,6,5,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/contactpage.pp,0,0,23,1,0,1,3,5,7,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/parsoid.pp,1,0,28,0,0,1,7,10,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/dumpsondemand.pp,0,0,12,0,0,0,1,4,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/globaluserpage.pp,1,0,19,1,0,0,3,4,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikimediaeditortasks.pp,1,0,18,0,0,2,2,3,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/relatedarticles.pp,1,0,15,0,0,0,4,1,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/templatedata.pp,0,0,16,0,0,0,2,1,9,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/translate.pp,0,0,20,0,0,1,2,6,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/sendgrid.pp,0,0,10,0,0,0,1,1,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/stopforumspam.pp,3,0,12,0,0,0,4,3,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/whoops.pp,1,0,14,0,0,0,4,1,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/pageforms.pp,1,0,10,0,0,0,0,1,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/codemirror.pp,0,0,8,0,0,1,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/babel.pp,0,0,13,1,0,1,1,2,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/ores.pp,1,0,35,0,0,1,15,3,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/cite.pp,0,0,10,0,0,0,3,1,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/templatewizard.pp,0,0,10,0,0,2,1,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/simple_miser.pp,1,0,28,0,0,1,9,5,8,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/flow.pp,0,1,56,2,1,4,18,22,4,0,1,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/proton.pp,1,0,18,1,0,1,2,3,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/globalcssjs.pp,0,0,17,1,0,1,1,5,4,0,0,0
